Id,名称,住所,営業日,電話番号,都道府県,緯度,経度
14,厚切りニクバル BLUE BEAR 岡崎駅前店,〒444-0838 愛知県岡崎市羽根西1-6-2,月～土 ディナー：17:30～23:00(L.O.22:00、ドリンクL.O.22:30),050-3461-8699,愛知県,34.926406,137.156349
15,もうやんカレー名古屋,〒450-0002 愛知県名古屋市中村区名駅3-28-12 大名古屋ビルヂングB1,ランチ：11:00～15:00(L.O.14:30)、17:30～23:00(L.O.22:00),050-3462-7720,愛知県,35.171996,136.884630
16,LEPAN 瀬戸,〒489-0931 愛知県瀬戸市高根町2-69,11:00～23:00(L.O.22:00、ドリンクL.O.22:30),050-3477-3941,愛知県,35.209289,137.067034
17,個室ダイニング 裏NO庭 名駅店,〒450-0002 愛知県名古屋市中村区名駅4-5-15 コスモス名駅east 7・8F,"月～木・日・祝日 17:00～24:00
金・土・祝前日 17:00～翌5:00",050-3466-9941,愛知県,35.170994,136.886117
18,シノワーズ 南翔 中国式洋風料理店,〒480-1117 愛知県長久手市喜婦嶽815,"月・水～日・祝前日・祝日 ランチ：11:30～14:00(L.O.13:00、ドリンクL.O.13:00)
月・水～日・祝前日・祝日 ディナー：18:00～21:00(L.O.20:30、ドリンクL.O.21:00)",050-3467-6985,愛知県,35.167034,137.042384
19,BarBa‐Style～バーバスタイル～,〒496-0011 愛知県津島市莪原町不毛69,"金・土 11:00～翌3:00
月～木・日 11:00～24:00(L.O.23:30)",050-3490-8894,愛知県,35.168169,136.774855
20,アロハテーブル アスナル金山店,〒460-0022 愛知県名古屋市中区金山1-17-1 アスナル金山1F,11:00～23:00(L.O.22:30)(営業時間に関しては当面の間、11:00～23:00とさせていただきます。  お客様にはご不便をおかけいたしますが、ご理解の程、よろしくお願い申し上げます。),050-3467-1104,愛知県,35.143983,136.901305
21,居酒屋 みらいや,〒480-1113 愛知県長久手市山野田1127 1F,"ランチ：11:30～14:00
月～日 ディナー：17:00～24:00(L.O.23:30)",050-3477-2812,愛知県,35.165018,137.043943
22,アロハテーブル 星が丘テラス,〒464-0802 愛知県名古屋市千種区星が丘元町16-50 星が丘テラス EAST1F,10:00～21:00(L.O.20:00)(※新型コロナウィルスの感染拡大防止等の観点から、状況により営業日及び営業時間を変更する場合がございます。詳細は店舗までお問合せ下さい。お客様にはご迷惑をおかけいたしますが、ご理解頂きますよう、何卒宜しくお願い申し上げます。),050-3491-6050,愛知県,35.161094,136.985381
23,恵比寿楽園テーブル,〒470-1101 愛知県豊明市沓掛町東門26-2,"月・水～日・祝前日・祝日 ランチ：11:00～17:00
月・水～日・祝前日・祝日 ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:30)
火 ランチ：11:00～16:00(L.O.15:00、ドリンクL.O.15:00)",050-3490-8361,愛知県,35.069642,137.022973
24,Sun Plus Cafe（サンプラスカフェ）,〒472-0055 愛知県知立市鳥居2-13-2,水～日 11:00～23:00(L.O.22:30)(月曜日のみ11:00-16:00),050-3313-6258,愛知県,35.004823,137.028551
25,夜景の見えるレストラン YOUR TABLE 岡崎,〒444-0002 愛知県岡崎市高隆寺町峠1,"土・日・祝 ティー：10:00～11:00(L.O.10:30)(10時~11時まではドリンクのみの営業となります。)
火～日 ランチ：11:00～14:30(L.O.14:00)
火～日 カフェ：14:30～17:00(L.O.16:00)
火～日 ディナー：17:30～21:30(L.O.21:00、ドリンクL.O.21:00)(ディナーのみ予約制となっております。ご来店の際は、必ずご予約をお願い致します。  ご予約がない場合早めに閉店させていただく場合がございます。お電話にて確認ください。)",050-3477-4887,愛知県,34.947650,137.217448
26,HIIRAGIYAMA GARDEN,〒474-0053 愛知県大府市柊山町3-299,"月～日・祝前日・祝日 ランチ：11:00～15:00
月・火・木～日・祝前日・祝日 ディナー：18:00～23:00(（水曜日休み/貸切の場合営業可能）)",0562-85-4900,愛知県,35.019803,136.950782
27,Cafe＆diner JANTIQUE,〒444-0076 愛知県岡崎市井田町3-23,"月・水～日 ランチ：11:00～16:00(L.O.15:00)
月・水～日 ディナー：18:00～23:00(L.O.22:00)",0564-25-0801,愛知県,34.977901,137.174912
28,マルシェアンドカフェ ハナヤサイ,〒441-8151 愛知県豊橋市曙町測点157-2,8:00～18:00(L.O.17:30),0532-46-6509,愛知県,34.726682,137.401036
29,Chou＆Cream,〒446-0057 愛知県安城市三河安城町1-9-2 東祥ビル2 1F,"月・火・木～日・祝日 ランチ：11:30～15:00(L.O.14:30)
月・火・木～日・祝日 ディナー・バー：18:00～24:00(L.O.22:30)",0566-72-4096,愛知県,34.968843,137.062137
30,and cafe,〒470-0136 愛知県日進市竹の山1-1611,"月～木・日・祝日 ランチ：11:00～15:00
月～木・日・祝日 カフェ：15:00～17:00
月～木・日・祝日 ディナー：17:00～翌2:30(L.O.2:00)
金・土・祝前日 ランチ：11:00～15:00
金・土・祝前日 カフェ：15:00～17:00
金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:30)",0561-72-8887,愛知県,35.159531,137.038519
31,Cafe trois,〒460-0003 愛知県名古屋市中区錦3-16-8 森万ビル1F,"月～木 18:00～翌1:00
金・土・祝前日 18:00～翌3:00
祝日 昼の部：11:00～18:00",052-951-3323,愛知県,35.170718,136.907789
32,Cheval Cafe,〒461-0011 愛知県名古屋市東区白壁3-21-17,10:00～18:00(L.O.18:00),052-979-2366,愛知県,35.184077,136.919202
33,台湾飲茶カフェ 茶坊,〒465-0093 愛知県名古屋市名東区一社1-49 第一冨久屋マンション1F,11:00～22:00(L.O.21:00)、ランチ：11:00～14:00、ティー：14:00～17:00、ディナー：17:00～22:00,052-703-6877,愛知県,35.166426,136.993238
34,まめじろうの浜焼き王国,〒470-3321 愛知県知多郡南知多町大字内海字新田54,11:30～21:00(要予約),0569-62-1171,愛知県,34.735984,136.869822
35,DO CAFE,〒475-0927 愛知県半田市北二ツ坂町1-10-10,"火～日 ランチ・ディナー：9:00～18:00(L.O.17:30)
火～日 モーニング：9:00～11:00(L.O.11:00)
火～日 ランチ：11:30～15:00(L.O.15:00)",0569-22-8828,愛知県,34.892587,136.913099
36,アイコボ,〒470-3321 愛知県知多郡南知多町内海長城21-8,カフェ：11:00～21:00(L.O.20:00),0569-77-3939,愛知県,34.741506,136.867367
37,レストラン白川亭,〒460-0017 愛知県名古屋市中区松原2-22-30 トーカンマンション第1松原1F,"月・火・木～日 ランチ：11:30～14:00
月・火・木～日 ディナー：17:00～22:00
月・火・木～日 14:00～16:00(料理教室)",052-212-5058,愛知県,35.154521,136.897341
38,CAFE DUFI,〒460-0007 愛知県名古屋市中区新栄3-17-11,"月・火・木～土 ランチ・ディナー：11:30～24:00(L.O.23:00)
日・祝日 ランチ・ディナー：11:30～22:00(L.O.21:00)",052-263-6511,愛知県,35.166427,136.925688
39,ベッカライ＆カフェ　ビッテ,〒468-0051 愛知県名古屋市天白区植田1-1313 リューデスハイム1F,"火～日 モーニング：9:00～11:00
火～日 ランチ：11:30～14:30
火～日 ディナー：14:30～19:00(L.O.18:30)(※アフタヌーン)",052-804-8884,愛知県,35.129195,136.986256
40,Cafe＆Bar Perms,〒461-0001 愛知県名古屋市東区泉1-23-36 NBN泉ビル1F,"月～金 ランチ：11:30～14:00、カフェ：14:00～18:00、ディナー：18:00～24:00(L.O.23:00)
土・日・祝 ランチ：11:30～15:00、カフェ：15:00～18:00、ディナー：18:00～24:00(L.O.23:00)
第4日 ランチ：11:30～15:00
第4日 カフェ：15:00～18:00
第4日 ディナー：18:00～22:00(L.O.21:00)(パーティー等で貸切の場合がございます。ホームページもしくはお電話にてご確認ください。)",052-962-8878,愛知県,35.174402,136.908775
41,翁,〒470-3236 愛知県知多郡美浜町小野浦岩成31,"月・火・木・金 昼の部：11:00～14:00
月・火・木・金 夜の部：17:00～18:30(※夜の部は日没から1時間後がラストオーダーとなります。
※時期によって、閉店時間が変わります。)
土 昼の部：11:00～15:00
土 夜の部：17:00～20:00
日・祝日 11:00～20:00(L.O.20:00)(※20：30までにご予約いただけましたら、ラストオーダー後も営業いたします。
)",0569-87-5545,愛知県,34.756589,136.845501
42,cafe cop copine,〒440-0864 愛知県豊橋市向山町字川北6-8,"月～木・土・日 モーニング：9:00～11:30(L.O.11:00)
月～木・土・日 ランチ：11:30～14:00(L.O.14:00)
月～木・土・日 ティー：9:00～18:00(L.O.17:30)",0532-39-4571,愛知県,34.750825,137.399081
43,OXO アスナル金山店,〒460-0022 愛知県名古屋市中区金山1-17-1 アスナル金山2F,"月～木 11:00～翌1:00(L.O.24:00)
金・土 11:00～翌2:00(L.O.1:00)
日・祝日 ランチ・ディナー：11:00～24:00(L.O.23:00)",052-331-1999,愛知県,35.144152,136.901329
44,Cafe one LIFE,〒457-0802 愛知県名古屋市南区要町5-3-8,ランチ：11:00～18:00(L.O.17:30),052-700-1442,愛知県,35.076971,136.925573
45,CAFE Adagio,〒460-0013 愛知県名古屋市中区上前津2-5-6 オリウッドカルチャー上前津1F,火～土 11:00～18:00(L.O.17:30),052-331-7477,愛知県,35.156261,136.908315
46,Balboa Cafe,〒461-0025 愛知県名古屋市東区徳川2-11-5 Green徳川R,"月・火・木～日 モーニング：9:00～11:00
月・火・木～日 ランチ：11:30～14:00(L.O.14:00)
月・火・木～日 カフェ：9:00～15:00(L.O.14:00)",052-934-7581,愛知県,35.186011,136.927559
47,カレー＆バイキング アンナプルナ 長久手店,〒480-1174 愛知県長久手市東浦508,"土・日・祝 モーニング：8:00～11:00(L.O.10:30)
月～日・祝日 ランチ：11:00～15:30(L.O.15:00)
月～日・祝日 ディナー：17:30～22:30(L.O.22:00)",0561-61-6717,愛知県,35.176943,137.045443
48,オーガニックダイニングEngi,〒468-0061 愛知県名古屋市天白区八事天道811,"火～日 ランチ：11:00～15:00(L.O.14:30)
火～日 ディナー：17:30～23:30(L.O.22:30)",052-853-9101,愛知県,35.134467,136.962452
49,カレー＆ビュッフェ アンナプルナ 池下店,〒464-0067 愛知県名古屋市千種区池下1-11-19 池下1ビル1F,"月～日・祝日 ランチ：11:00～15:30(L.O.15:00)
月～日・祝日 ディナー：17:30～22:30(L.O.22:00)",052-761-5250,愛知県,35.167424,136.944918
50,ニクバルダカラ 上小田井,〒452-0814 愛知県名古屋市西区南川町65-1,"月～金 ディナー：17:00～20:00(L.O.19:00)、ランチ：11:30～14:30(L.O.14:00)
土・日・祝 ディナー：17:00～22:00(L.O.21:00)",052-505-2986,愛知県,35.219344,136.880497
51,会席料理・お宿 しぼりや,〒470-3321 愛知県知多郡南知多町大字内海字小桝40,"月～金 昼の部：10:30～15:00(L.O.15:00)、夜の部：17:00～21:00(L.O.20:50)
土・日・祝 ランチ・ディナー：10:30～21:00(L.O.20:50)",0569-62-1170,愛知県,34.725636,136.883418
52,CAFE泉,〒461-0001 愛知県名古屋市東区泉1-11-1,,052-253-7755,愛知県,35.177017,136.909987
53,ロイヤルガーデンカフェ 名古屋,〒460-0008 愛知県名古屋市中区栄1-2-7 リッチモンドホテル名古屋納屋橋1F,"11:00～15:00(L.O.14:00)(新型コロナウイルス感染拡大防止に伴う対応について
厚生労働省から発表された「新型コロナウイルス感染症対策の基本方針」を踏まえお客様と従業員の健康と安全確保の為、下記の日時で一時休業することとなりました。期間は2020年4月29日（水）から2020年6月30日（火）を予定しております。ご不便ご迷惑をお掛け致しますが、ご理解頂きますようよろしくお願い致します。)",052-218-2032,愛知県,35.167684,136.892872
54,pasta＆meat STAUB,〒440-0864 愛知県豊橋市向山町一本松1-1,"月・火・木～日・祝前日・祝日 ランチ：11:00～14:30(L.O.14:00)(※事前にお問い合わせ、ご予約していただきますとスムーズです。)
月・火・木～日・祝前日・祝日 ディナー：17:00～21:30(L.O.20:00)(12月の週末（土日）のご予約はお電話での受付になります。)",0532-54-5545,愛知県,34.756248,137.397202
55,Le cafe Andoll,〒451-0061 愛知県名古屋市西区浄心2-13-17,,052-523-7021,愛知県,35.193005,136.886058
56,ぽっぽっぽ,〒444-1331 愛知県高浜市屋敷町2-3-15,,0566-52-1101,愛知県,34.943889,136.990566
